import time: self [us] | cumulative | imported package
import time:       508 |        508 |         astra.astra
import time:       473 |        473 |         astra.matrix
import time:      1377 |       1377 |           astra.plugin_c
import time:      1094 |       1094 |           traceback
import time:       582 |       3052 |         astra.plugin
import time:       717 |        717 |           astra.plugins.sirt
import time:       484 |        484 |           astra.plugins.cgls
import time:       571 |       1771 |         astra.plugins
import time:       562 |        562 |         astra.optomo
import time:       508 |        508 |         astra.tests
import time:      1025 |     403029 |       astra
import time:      9213 |       9213 |       tomobase.utils
import time:        43 |         43 |                     _string
import time:       977 |       1020 |                   string
import time:        43 |         43 |                   atexit
import time:      2087 |       3149 |                 logging
import time:      1012 |       4161 |               imageio.core.util
import time:       526 |        526 |               imageio.core.findlib
import time:       554 |        554 |               imageio.core.fetching
import time:      1323 |       1323 |                 zipfile
import time:       838 |        838 |                 tempfile
import time:      1111 |       3271 |               imageio.core.request
import time:      1380 |       1380 |                   imageio.config.extensions
import time:       519 |        519 |                         imageio.typing
import time:      1052 |       1052 |                         dataclasses
import time:      1168 |       2737 |                       imageio.core.v3_plugin_api
import time:       614 |       3351 |                     imageio.core.legacy_plugin_wrapper
import time:       804 |       4154 |                   imageio.config.plugins
import time:       749 |       6283 |                 imageio.config
import time:       518 |        518 |                 imageio.core.imopen
import time:       870 |       7671 |               imageio.core.format
import time:       938 |      17118 |             imageio.core
import time:       773 |        773 |             imageio.v2
import time:       504 |        504 |             imageio.v3
import time:       577 |        577 |             imageio.plugins
import time:       901 |      19871 |           imageio
import time:        54 |         54 |                     _heapq
import time:       672 |        726 |                   heapq
import time:       475 |        475 |                   toolz.utils
import time:       821 |       2020 |                 toolz.itertoolz
import time:       887 |        887 |                   toolz._signatures
import time:       760 |       1647 |                 toolz.functoolz
import time:       530 |        530 |                 toolz.dicttoolz
import time:       485 |        485 |                 toolz.recipes
import time:       804 |        804 |                   toolz.curried.operator
import time:       490 |        490 |                   toolz.curried.exceptions
import time:       698 |       1991 |                 toolz.curried
import time:       776 |        776 |                   toolz.sandbox.core
import time:       566 |        566 |                   toolz.sandbox.parallel
import time:       568 |       1909 |                 toolz.sandbox
import time:        60 |         60 |                         _json
import time:       710 |        769 |                       json.scanner
import time:       961 |       1730 |                     json.decoder
import time:       728 |        728 |                     json.encoder
import time:       796 |       3253 |                   json
import time:       617 |       3869 |                 toolz._version
import time:      4683 |      17132 |               toolz
import time:       807 |      17939 |             stackview._static_view
import time:       520 |        520 |             stackview._utilities
import time:       505 |        505 |             stackview._context
import time:       714 |        714 |                 ipywidgets._version
import time:       567 |        567 |                       traitlets.utils
import time:       712 |       1278 |                     traitlets.utils.bunch
import time:       509 |        509 |                     traitlets.utils.descriptions
import time:       493 |        493 |                     traitlets.utils.getargspec
import time:       486 |        486 |                     traitlets.utils.importstring
import time:       489 |        489 |                     traitlets.utils.sentinel
import time:       484 |        484 |                     traitlets.utils.warnings
import time:      3191 |       6928 |                   traitlets.traitlets
import time:       627 |        627 |                   traitlets._version
import time:       519 |        519 |                   traitlets.utils.decorators
import time:       883 |       8956 |                 traitlets
import time:       775 |        775 |                     IPython.core
import time:       768 |       1542 |                   IPython.core.getipython
import time:       515 |        515 |                   IPython.core.release
import time:       763 |        763 |                           pprint
import time:      3853 |       3853 |                                 _socket
import time:      1690 |       1690 |                                   select
import time:      1011 |       2701 |                                 selectors
import time:      1656 |       8209 |                               socket
import time:      1456 |       1456 |                                 _queue
import time:       777 |       2233 |                               queue
import time:      1033 |      11474 |                             logging.handlers
import time:      1034 |       1034 |                             socketserver
import time:      1655 |      14162 |                           logging.config
import time:       514 |        514 |                             traitlets.utils.text
import time:      1421 |       1421 |                                 gettext
import time:      2582 |       4003 |                               argparse
import time:      1264 |       5267 |                             traitlets.config.loader
import time:      1156 |       6936 |                           traitlets.config.configurable
import time:       550 |        550 |                           traitlets.utils.nested_update
import time:      1559 |      23969 |                         traitlets.config.application
